movieId,title,genres,movie_url,rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,https://www.imdb.com/title/tt0114709/,3.9
2,Jumanji (1995),Adventure|Children|Fantasy,https://www.imdb.com/title/tt0113497/,3.4
3,Grumpier Old Men (1995),Comedy|Romance,https://www.imdb.com/title/tt0113228/,3.3
4,Waiting to Exhale (1995),Comedy|Drama|Romance,https://www.imdb.com/title/tt0114885/,2.4
5,Father of the Bride Part II (1995),Comedy,https://www.imdb.com/title/tt0113041/,3.1
6,Heat (1995),Action|Crime|Thriller,https://www.imdb.com/title/tt0113277/,4.0
7,Sabrina (1995),Comedy|Romance,https://www.imdb.com/title/tt0114319/,3.2
8,Tom and Huck (1995),Adventure|Children,https://www.imdb.com/title/tt0112302/,2.9
9,Sudden Death (1995),Action,https://www.imdb.com/title/tt0114576/,3.1
10,GoldenEye (1995),Action|Adventure|Thriller,https://www.imdb.com/title/tt0113189/,3.5
11,"American President, The (1995)",Comedy|Drama|Romance,https://www.imdb.com/title/tt0112346/,3.7
12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://www.imdb.com/title/tt0112896/,2.4
13,Balto (1995),Adventure|Animation|Children,https://www.imdb.com/title/tt0112453/,3.1
14,Nixon (1995),Drama,https://www.imdb.com/title/tt0113987/,3.8
15,Cutthroat Island (1995),Action|Adventure|Romance,https://www.imdb.com/title/tt0112760/,3.0
16,Casino (1995),Crime|Drama,https://www.imdb.com/title/tt0112641/,3.9
17,Sense and Sensibility (1995),Drama|Romance,https://www.imdb.com/title/tt0114388/,3.8
18,Four Rooms (1995),Comedy,https://www.imdb.com/title/tt0113101/,3.7
19,Ace Ventura: When Nature Calls (1995),Comedy,https://www.imdb.com/title/tt0112281/,2.7
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,https://www.imdb.com/title/tt0113845/,2.5
21,Get Shorty (1995),Comedy|Crime|Thriller,https://www.imdb.com/title/tt0113161/,3.5
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,https://www.imdb.com/title/tt0112722/,3.2
23,Assassins (1995),Action|Crime|Thriller,https://www.imdb.com/title/tt0112401/,3.1
24,Powder (1995),Drama|Sci-Fi,https://www.imdb.com/title/tt0114168/,3.1
25,Leaving Las Vegas (1995),Drama|Romance,https://www.imdb.com/title/tt0113627/,3.6
26,Othello (1995),Drama,https://www.imdb.com/title/tt0114057/,3.5
27,Now and Then (1995),Children|Drama,https://www.imdb.com/title/tt0114011/,3.3
28,Persuasion (1995),Drama|Romance,https://www.imdb.com/title/tt0114117/,4.2
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://www.imdb.com/title/tt0112682/,4.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,https://www.imdb.com/title/tt0115012/,3.0
31,Dangerous Minds (1995),Drama,https://www.imdb.com/title/tt0112792/,3.2
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,https://www.imdb.com/title/tt0114746/,4.0
34,Babe (1995),Children|Drama,https://www.imdb.com/title/tt0112431/,3.6
36,Dead Man Walking (1995),Crime|Drama,https://www.imdb.com/title/tt0112818/,3.8
38,It Takes Two (1995),Children|Comedy,https://www.imdb.com/title/tt0113442/,2.1
39,Clueless (1995),Comedy|Romance,https://www.imdb.com/title/tt0112697/,3.3
40,"Cry, the Beloved Country (1995)",Drama,https://www.imdb.com/title/tt0112749/,4.2
41,Richard III (1995),Drama|War,https://www.imdb.com/title/tt0114279/,3.7
42,Dead Presidents (1995),Action|Crime|Drama,https://www.imdb.com/title/tt0112819/,3.0
43,Restoration (1995),Drama,https://www.imdb.com/title/tt0114272/,3.2
44,Mortal Kombat (1995),Action|Adventure|Fantasy,https://www.imdb.com/title/tt0113855/,2.5
45,To Die For (1995),Comedy|Drama|Thriller,https://www.imdb.com/title/tt0114681/,3.3
46,How to Make an American Quilt (1995),Drama|Romance,https://www.imdb.com/title/tt0113347/,3.1
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,https://www.imdb.com/title/tt0114369/,4.0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,https://www.imdb.com/title/tt0114148/,3.2
49,When Night Is Falling (1995),Drama|Romance,https://www.imdb.com/title/tt0114916/,3.0
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,https://www.imdb.com/title/tt0114814/,4.2
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,https://www.imdb.com/title/tt0113819/,3.5
53,Lamerica (1994),Adventure|Drama,https://www.imdb.com/title/tt0110299/,5.0
54,"Big Green, The (1995)",Children|Comedy,https://www.imdb.com/title/tt0112499/,2.3
55,Georgia (1995),Drama,https://www.imdb.com/title/tt0113158/,4.0
57,Home for the Holidays (1995),Drama,https://www.imdb.com/title/tt0113321/,3.1
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,https://www.imdb.com/title/tt0110877/,4.0
